description,category
"Bought groceries at the supermarket","Shopping"
"Refueling my car","Transportation"
"Purchased a new phone","Shopping"
"Coffee at the cafe","Food and Drink"
"Taxi fare to the office","Transportation"
"Bought a pair of shoes","Shopping"
"Monthly rent payment","Housing"
"Electricity bill payment","Utilities"
"Dining out at a restaurant","Food and Drink"
"Movie tickets for the weekend","Entertainment"
"Gym membership fee","Health"
"Online course for personal development","Education"
"Bought a new laptop","Shopping"
"Gasoline for my car","Transportation"
"Paid for a vacation package","Travel"
"Birthday gift for a friend","Gifts"
"Pet food for my dog","Pets"
"Books for studying","Education"
"Internet bill payment","Utilities"
"Doctor's appointment fee","Health"
"Coffee with friends","Food and Drink"
"Streaming service subscription","Entertainment"
"Paid for home cleaning service","Housing"
"Bought a new bicycle","Shopping"
"Paid for a concert ticket","Entertainment"
"Bought a backpack for school","Shopping"
"Monthly mobile phone bill","Utilities"
"Paid for a spa day","Health"
"Bought a winter jacket","Shopping"
"Monthly subscription to a magazine","Entertainment"
"Bought a new television","Shopping"
"Paid for a massage session","Health"
"Bought a watch","Shopping"
"Paid for an online course on coding","Education"
"Groceries for the week","Shopping"
"Paying for house insurance","Housing"
"Paid for a flight ticket","Travel"
"Bought new furniture","Housing"
"Paid for dental checkup","Health"
"Paid for a yoga class","Health"
"Cost of a new smartphone case","Shopping"
"Paid for a personal trainer session","Health"
"Renting a car for a weekend trip","Transportation"
"Bought a gift for a wedding","Gifts"
"Online shopping for a new wardrobe","Shopping"
"Bought a blender for the kitchen","Shopping"
"Paid for a car repair","Transportation"
"Bought new clothes for work","Shopping"
"Paid for a haircut","Health"
"Paid for a fitness class","Health"
"Water bill payment","Utilities"
"Paid for a camping trip","Travel"
"Bought a new wallet","Shopping"
"Paid for a flight upgrade","Travel"
"Paid for a hotel stay","Travel"
"Bought a new suitcase","Travel"
"Paid for a vacation insurance","Travel"
"Paid for a bike repair","Transportation"
"Paid for a taxi during a business trip","Transportation"
"Bought tickets for a theater play","Entertainment"
"Paid for a wedding anniversary gift","Gifts"
"Paid for a subscription to a fitness app","Health"
"Paid for a new kitchen appliance","Shopping"
"Bought a new gaming console","Entertainment"
"Paid for a personal development course","Education"
"Paid for a private tutor session","Education"
"Bought a fitness tracker","Health"
"Paid for a staycation","Travel"
"Paid for a theme park ticket","Entertainment"
"Paid for a photography workshop","Education"
"Paid for a subscription to a news service","Entertainment"
"Paid for a subscription to an audiobook service","Entertainment"
"Bought a new tablet","Shopping"
"Bought tickets for a concert festival","Entertainment"
"Paid for a makeup session","Health"
"Bought a new camera for photography","Shopping"
"Paid for a new luggage set","Travel"
"Paid for a meal delivery service","Food and Drink"
"Bought a new pair of sunglasses","Shopping"
"Paid for an online language course","Education"
"Paid for a therapeutic massage","Health"
"Paid for a skin care product","Health"
"Paid for a home improvement project","Housing"
"Bought a new set of golf clubs","Sports"
"Paid for a team-building event","Entertainment"
"Paid for a skincare routine subscription","Health"
"Bought a pair of running shoes","Sports"
"Paid for a new couch","Housing"
"Paid for a new refrigerator","Housing"
"Paid for a pool maintenance service","Housing"
"Bought a new pair of headphones","Shopping"
"Bought a new smartwatch","Shopping"
"Paid for a motorcycle maintenance","Transportation"
"Paid for a motorcycle fuel","Transportation"
"Paid for a food delivery from a restaurant","Food and Drink"
"Paid for a camping gear","Travel"
"Paid for a new pair of skis","Sports"
"Paid for a snowboarding trip","Sports"
"Paid for a sports event ticket","Sports"
"Bought a new basketball","Sports"
"Paid for a personal health assessment","Health"
"Paid for a nutrition consultation","Health"
"Bought a new tent for camping","Travel"
"Paid for an outdoor adventure trip","Travel"
"Bought a new set of dishes for the kitchen","Shopping"
"Paid for a professional photo shoot","Entertainment"
"Paid for a new air conditioner","Housing"
"Paid for a new washing machine","Housing"
"Bought a new set of golf balls","Sports"
"Paid for a new kitchen countertop","Housing"
"Paid for a new microwave","Housing"
"Paid for a pet grooming session","Pets"
"Paid for a weekend getaway","Travel"
"Paid for a subscription to a meditation app","Health"
